Id,Role,Name,Squad,Price,MyRating,Mate,Regularness,FVM,ExpectedPrice
2252,D,Marchizza,Frosinone,6,1.2,,5,5,1
4952,D,Monterisi,Frosinone,5,1.0,,4,6,1
2006,D,Lirola,Frosinone,3,1.9,Oyono,3,5,1
6238,D,Oyono,Frosinone,2,2.0,Lirola,4,8,1
4432,D,Okoli,Frosinone,1,1.4,,4,7,1
6411,D,Mateus Lusuardi,Frosinone,1,1.0,,2,1,1
6430,D,Kalaj,Frosinone,1,1.0,,1,1,1
5688,C,Harroui,Frosinone,8,3.0,,5,22,10
5093,C,Reinier,Frosinone,8,3.0,Caso,4,18,6
4947,C,Brescianini,Frosinone,6,1.0,,2,4,1
1976,C,Mazzitelli,Frosinone,5,1.0,,5,6,1
2825,C,Bourabia,Frosinone,4,2.0,,4,8,2
694,C,Baez,Frosinone,4,1.0,Soule',3,6,1
2183,C,Garritano,Frosinone,3,1.0,,2,4,1
6175,C,Barrenechea,Frosinone,3,1.0,,1,6,1
6241,C,Gelli,Frosinone,3,1.0,Reinier,3,1,1
500,C,Lulic K.,Frosinone,1,1.0,,1,3,1
6439,A,Cheddira,Frosinone,10,2.0,,5,28,6
5364,A,Caso,Frosinone,6,2.0,Reinier,3,12,1
5734,A,Soule',Frosinone,4,2.0,Baez,4,14,7
6214,A,Cuni,Frosinone,4,1.0,,2,5,1
6204,A,Kvernadze,Frosinone,3,1.0,,1,6,2
5505,A,Kaio Jorge,Frosinone,1,1.0,,1,9,9
6242,A,Bidaoui,Frosinone,1,1.0,,1,1,2
5116,P,Martinez Jo.,Genoa,8,2.0,,5,17,3
188,P,Leali,Genoa,1,1.0,,1,1,1
219,P,Sommariva,Genoa,1,1.0,,1,1,1
2593,D,Martin,Genoa,8,3.0,Sabelli,3,12,5
5365,D,Dragusin,Genoa,6,1.7,,5,12,3
5514,D,Vasquez,Genoa,6,1.6,,5,7,1
791,D,Sabelli,Genoa,5,2.3,Martin,4,12,4
2083,D,Biraschi,Genoa,4,1.0,,3,3,1
6245,D,Vogliacco,Genoa,4,1.0,,2,4,1
2285,D,Bani,Genoa,3,1.6,,3,6,1
5748,D,Hefti,Genoa,3,1.0,,1,4,1
5695,D,Haps,Genoa,2,1.6,,1,4,1
5739,D,De Winter,Genoa,2,1.0,,1,6,2
6244,D,Matturro,Genoa,1,1.0,,1,1,1
4427,C,Malinovskyi,Genoa,15,4.1,,5,62,37
5800,C,Gudmundsson A.,Genoa,14,4.0,,5,63,38
4404,C,Thorsby,Genoa,8,2.5,Badelj,3,18,6
4970,C,Messias,Genoa,8,3.8,,3,28,15
5791,C,Frendrup,Genoa,7,2.0,,4,13,3
470,C,Strootman,Genoa,6,2.7,,4,8,1
170,C,Badelj,Genoa,5,1.4,Thorsby,4,7,1
6479,C,Kutlu,Genoa,4,1.0,,2,6,1
4384,C,Jagiello,Genoa,2,1.0,,1,5,1
6228,A,Retegui,Genoa,23,4.0,,5,128,65
5506,A,Ekuban,Genoa,3,1.0,,2,2,1
281,A,Puscas,Genoa,1,1.0,,1,2,3
6247,A,Yalcin,Genoa,1,1.0,,1,1,2
2428,P,Sommer,Inter,16,5.0,,5,67,51
761,P,Audero,Inter,1,1.8,,1,1,1
1926,P,Di Gennaro,Inter,1,1.0,,1,1,1
254,D,Dimarco,Inter,20,4.5,Carlos Augusto,4,81,62
5877,D,Carlos Augusto,Inter,17,4.6,Dimarco,3,42,30
2120,D,Bastoni,Inter,14,3.9,,5,48,33
