Id;Role;Name;Squad;Price;MyRating;Mate;Regularness;FVM;Pg22_23;Mv22_23;Mf22_23;Pg21_22;Mv21_22;Mf21_22;Pg20_21;Mv20_21;Mf20_21;Pg19_20;Mv19_20;Mf19_20;Pg18_19;Mv18_19;Mf18_19
393;D;Luperto;Empoli;7;1.9;;5;10;36;5.93;6.01;22;5.75;5.61;23;5.41;5.3;9;5.64;5.5;12;5.65;5.65
770;D;Pezzella Giu.;Empoli;5;1.8;Cacace;4;5;14;5.71;5.71;16;5.97;6.0;24;6.04;6.19;23;5.71;5.66;9;5.2;4.9
5010;D;Ismajli;Empoli;5;1.8;;5;9;25;6.0;5.86;17;5.5;5.06;17;5.78;5.94;0;0.0;0.0;0;0.0;0.0
2104;D;Bereszynski;Empoli;3;1.1;Ebuehi;3;4;17;5.71;5.71;35;5.69;5.6;31;5.84;5.9;28;5.5;5.25;27;5.66;5.6
4374;D;Walukiewicz;Empoli;2;1.0;;2;4;9;5.89;5.89;6;5.67;5.58;19;5.5;5.53;14;5.64;5.61;0;0.0;0.0
5804;D;Cacace;Empoli;2;2.0;Pezzella Giu.;3;8;10;5.65;5.6;8;5.81;5.75;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
144;D;Tonelli;Empoli;1;1.2;;2;2;1;5.5;5.5;13;5.5;5.19;23;5.95;5.84;9;5.83;5.61;19;5.84;5.74
6056;D;Guarino;Empoli;1;1.0;;1;2;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
5823;C;Baldanzi;Empoli;14;4.0;;5;39;26;6.15;6.58;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
4965;C;Marin;Empoli;8;2.4;;5;14;32;5.98;6.2;36;5.9;5.96;37;5.99;6.28;0;0.0;0.0;0;0.0;0.0
4992;C;Gyasi;Empoli;7;2.1;;3;8;35;5.77;5.8;36;5.78;6.08;37;5.96;6.4;0;0.0;0.0;0;0.0;0.0
27;C;Grassi;Empoli;5;1.1;Fazzini;3;6;20;5.92;5.85;28;5.95;5.88;23;5.72;5.55;16;5.93;6.0;7;5.83;5.83
6010;C;Fazzini;Empoli;5;1.4;Grassi;4;10;15;5.9;5.8;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
4896;C;Maldini;Empoli;4;3.3;;3;9;15;6.07;6.43;3;6.33;7.17;5;0.0;0.0;2;6.0;6.0;0;0.0;0.0
5397;C;Kovalenko;Empoli;4;1.4;;3;7;13;5.92;5.88;22;5.86;6.07;1;0.0;0.0;0;0.0;0.0;0;0.0;0.0
5457;C;Maleh;Empoli;4;1.4;Bastoni S.;3;4;21;5.81;5.76;23;6.07;6.26;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
5884;C;Ranocchia F.;Empoli;4;3.0;;2;6;12;6.17;6.42;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
6203;C;Belardinelli;Empoli;1;1.0;;1;3;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
2819;A;Caputo;Empoli;14;3.5;;5;52;36;5.88;6.44;38;6.0;6.88;25;6.12;7.65;36;6.32;8.31;38;6.08;7.14
4436;A;Cambiaghi;Empoli;12;3.3;;5;28;25;6.24;6.9;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
5500;A;Cancellieri;Empoli;5;1.0;;3;8;6;5.83;5.83;5;6.1;6.6;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
472;A;Destro;Empoli;2;2.6;;2;1;10;5.7;5.9;27;6.02;6.98;29;6.16;7.42;13;5.67;5.61;17;6.28;7.56
6395;A;Shpendi S.;Empoli;2;1.0;;1;1;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
6011;A;Ekong;Empoli;1;1.0;;1;1;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
2815;P;Terracciano;Fiorentina;10;2.0;Christensen O.;4;14;29;6.0;4.78;32;5.97;4.72;4;6.25;6.0;7;6.36;5.64;10;6.35;5.05
6403;P;Christensen O.;Fiorentina;2;2.0;Terracciano;3;16;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
6184;P;Martinelli T.;Fiorentina;1;1.0;;1;1;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
252;D;Biraghi;Fiorentina;11;3.7;Parisi;4;24;32;6.05;6.19;37;5.96;6.11;35;5.91;6.03;25;5.98;6.43;36;5.89;6.0
2164;D;Milenkovic;Fiorentina;10;3.1;;5;26;27;5.94;6.06;34;5.87;5.81;34;5.84;5.97;37;6.18;6.46;34;5.93;6.06
5449;D;Parisi;Fiorentina;7;2.8;Biraghi;3;20;33;6.14;6.14;23;5.91;5.85;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
5885;D;Dodo';Fiorentina;7;2.7;;5;22;33;5.88;5.98;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
4210;D;Mina;Fiorentina;7;3.0;Ranieri L.;4;12;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
4378;D;Ranieri L.;Fiorentina;5;1.7;Mina;3;12;8;6.25;6.19;27;5.7;5.65;0;0.0;0.0;3;5.5;5.17;0;0.0;0.0
5323;D;Martinez Quarta;Fiorentina;5;1.8;;2;7;27;5.94;5.98;18;5.81;5.75;21;5.87;5.87;0;0.0;0.0;0;0.0;0.0
6235;D;Kayode;Fiorentina;2;2.0;;2;8;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
6432;D;Pierozzi;Fiorentina;1;1.0;;1;2;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
367;C;Bonaventura;Fiorentina;15;3.9;;5;39;28;6.25;6.71;31;6.18;6.56;34;6.03;6.3;29;6.12;6.62;8;6.12;7.25
4658;C;Ikone';Fiorentina;12;3.4;;5;18;30;6.03;6.43;15;5.87;6.1;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
